NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
quality_flag,CDF_UINT4,Quality Flags,epoch,,,,support_data,RV,no_plot,,Quality Flags,I4,Flags, ,0,255,255,,,,,,,,,,,,,,,,,,,,,,,,
core_fit_num_points,CDF_INT4,Number of energies used on core fit,epoch,,,,support_data,RV,no_plot,,,I6,,,0,100,-2147483648,,,,,,,,,,,,,,,,,,,,,,,,
halo_fit_num_points,CDF_INT4,Number of energies used on halo fit,epoch,,,,support_data,RV,no_plot,,,I6,,,0,100,-2147483648,,,,,,,,,,,,,,,,,,,,,,,,
core_chisq,CDF_REAL4,Chi Square Error for core moment fitting,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core Chi-square,F15.3,Core Chisq,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_chisq,CDF_REAL4,Chi Square Error for halo moment fitting,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Chi-square,F15.3,Halo Chisq,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_density_fit,CDF_REAL4,Density of Core Electrons found through Maxwellian fitting,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core deinsity fit,F15.3,Core Density Fit,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_density_fit,CDF_REAL4,Density of Halo Electrons found through Maxwellian fitting,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo density fit,F15.3,Halo Density Fit,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_t_parallel_fit,CDF_REAL4,Fitted t_parallel,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core t parallel fit,F15.3,Core T Parallel Fit,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_t_parallel_fit,CDF_REAL4,halo_t_parallel_fit,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo t parallel fit,F15.3,Halo T Parallel Fit,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_t_perpendicular_fit,CDF_REAL4,core_t_perpendicular_fit,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core t perpendicular fit,F15.3,Core T Perpendicular Fit,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
