TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
215,51.3595979,48.59974101,54.27618012
216,57.35838769,54.27618012,60.61562607
217,64.05783481,60.61562607,67.69551792
218,71.53977589,67.69551792,75.60233959
219,79.89560605,75.60233959,84.4326763
220,89.22739534,84.4326763,94.2943944
221,99.64913558,94.2943944,105.307959
222,111.2881328,105.307959,117.6079056
223,124.2865623,117.6079056,131.3444832
224,138.8032056,131.3444832,146.6854901
225,155.0153896,146.6854901,163.8183232
226,173.1211532,163.8183232,182.9522674
227,193.3416659,182.9522674,204.3210522
228,215.9239302,204.3210522,228.1857064
229,241.1437979,228.1857064,254.8377469
230,269.3093407,254.8377469,284.6027399
231,300.7646128,284.6027399,317.8442776
232,335.8938537,317.8442776,354.9684197
233,375.1261822,354.9684197,396.4286534
234,418.9408382,396.4286534,442.7314332
235,467.8730363,442.7314332,494.4423677
236,522.5205045,494.4423677,552.193128
237,583.550785,552.193128,616.6891644
238,651.7093889,616.6891644,688.7183237
239,727.8289028,688.7183237,769.1604731
240,812.8391593,769.1604731,858.998248
241,907.7785951,858.998248,959.3290552
242,1013.806936,959.3290552,1071.378479
243,1132.219364,1071.378479,1196.51525
244,1264.462338,1196.51525,1336.26797
245,1412.151262,1336.26797,1492.343776
246,1577.090221,1492.343776,1666.649202
247,1761.294013,1666.649202,1861.313464
248,1967.012768,1861.313464,2078.714469
249,2196.759428,2078.714469,2321.507864
250,2453.340449,2321.507864,2592.659474
251,2739.890076,2592.659474,2895.481533
252,3059.908637,2895.481533,3233.673142
253,3417.305295,3233.673142,3611.365456
254,3816.445805,3611.365456,4033.172151
255,4262.20584,4033.172151,4504.245775
256,0.003441666341,0.003256725123,0.003637109904
257,0.003843652216,0.003637109904,0.004061923545
258,0.004292589953,0.004061923545,0.004536355325
259,0.004793963519,0.004536355325,0.005066200634
260,0.005353897409,0.005066200634,0.005657931758
261,0.005979231453,0.005657931758,0.006318776949
262,0.006677604378,0.006318776949,0.007056808713
263,0.007457547107,0.007056808713,0.007881042425
264,0.008328586976,0.007881042425,0.008801546454
265,0.009301364111,0.008801546454,0.009829565153
266,0.0103877614,0.009829565153,0.01097765621
267,0.01160104966,0.01097765621,0.01225984405
268,0.01295604972,0.01225984405,0.01369179115
269,0.01446931349,0.01369179115,0.01529098936
270,0.01615932614,0.01529098936,0.01707697357
271,0.01804673189,0.01707697357,0.01907156034
272,0.02015458622,0.01907156034,0.02129911441
273,0.02250863748,0.02129911441,0.02378684631
274,0.02513764141,0.02378684631,0.02656514475
275,0.02807371242,0.02656514475,0.02966794784
276,0.03135271588,0.02966794784,0.03313315765
277,0.03501470623,0.03313315765,0.03700310321
278,0.03910441625,0.03700310321,0.04132505756
279,0.04367180351,0.04132505756,0.04615181524
280,0.04877266059,0.04615181524,0.05154233715
281,0.05446929667,0.05154233715,0.05756247084
282,0.06083129859,0.05756247084,0.06428575483
283,0.06793638094,0.06428575483,0.07179431692
284,0.07587133536,0.07179431692,0.08017987741
285,0.08473309072,0.08017987741,0.08954486954
286,0.09462989716,0.08954486954,0.1000036907
287,0.1056826484,0.1000036907,0.1116840999
288,0.1180263586,0.1116840999,0.1247287783
289,0.1318118115,0.1247287783,0.1392970723
290,0.1472074022,0.1392970723,0.1555669398
291,0.1644011945,0.1555669398,0.1737371243
292,0.183603218,0.1737371243,0.1940295824
